,taxa1,taxa2,raw_pm_2d,pvalue,qvalue,pm1,pvalue1,qvalue1,pm2,pvalue2,qvalue2,co_PM_2D
0,taxa841,taxa572511,0.18785091064210224,0.0014742768191023936,0.0019153190809761778,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13,0.0
1,taxa841,taxa1730,0.3505590435701793,8.881784197001252e-16,6.673128126773507e-15,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3161220076206742,1.3862371250894512e-09,4.2280232315228264e-09,0.03443703594950509
2,taxa841,taxa216851,0.20803873996961553,4.533977445830839e-05,7.242421169351613e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.19330929811340447,0.09612244273651094,0.10470480369512798,0.0
3,taxa841,taxa189330,0.21369564163586796,2.027242151148023e-06,3.961170509377841e-06,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.22402651567140985,0.014293408898834126,0.019375509840641812,0.0
4,taxa841,taxa375288,0.22247686710619785,1.0299323673357286e-05,1.8010557772771033e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2758668142679497,9.438208603551601e-08,2.503177064420207e-07,0.0
5,taxa841,taxa816,0.3296441819325687,2.733435915162051e-16,2.8301062097226602e-15,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4353285371443134,2.8685871208075257e-24,5.832793812308636e-23,0.0
6,taxa841,taxa239759,0.34319681984978734,4.440892098500626e-16,3.9687551490810854e-15,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.38471388222485714,8.456851200094386e-20,7.369541760082251e-19,0.0
7,taxa841,taxa33042,0.22666686613097287,2.9279960123140825e-07,6.490518575599624e-07,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.21117870470268096,0.03977288185083194,0.04665664986347594,0.0
8,taxa841,taxa292632,0.4875668724810144,9.447242353985311e-33,2.765761640873631e-31,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6065265874979333,1.773657023286081e-39,5.409653921022546e-38,0.0
9,taxa841,taxa1263,0.2590144870415022,6.724637158228575e-08,1.621936632765926e-07,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4099441111448291,9.937281197178403e-21,1.2123483060557653e-19,0.0
10,taxa841,taxa102106,0.17069739091632918,0.11655912516129152,0.12119864943286773,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2963922412541724,5.453386058618115e-06,1.1470915502610518e-05,0.0
11,taxa841,taxa1678,0.26275869265769947,2.5210438958644943e-08,6.446886348159505e-08,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4783237196775898,1.2208795738343442e-21,1.8618413500973747e-20,0.0
12,taxa841,taxa459786,0.3230678915026405,8.297251774536107e-12,3.411315620620414e-11,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.5313530983108932,0.0,0.0,0.0
13,taxa841,taxa1301,0.196737236926103,0.0023095625378225515,0.0029157153823217044,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.25563734081254463,0.0003479816210957276,0.0005896355246344274,0.0
14,taxa841,taxa1485,0.33936365914706623,1.7630341631047486e-13,9.473519015670453e-13,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.27710494396337737,1.4241800279091166e-06,3.217591914905782e-06,0.02439390364184557
15,taxa841,taxa239934,0.20236903710854892,0.01571298637719276,0.017930544938490126,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4252546501871196,5.461187058131145e-13,2.2208827369733324e-12,0.0
16,taxa841,taxa35832,0.4177523589762623,2.413080114813469e-19,3.865481165050256e-18,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.5188035023046061,4.440892098500626e-16,2.708944180085382e-15,0.0
17,taxa841,taxa397864,0.3208510670866219,6.18012752084951e-10,1.939714700628922e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.460915007252631,4.551914400963142e-15,2.313889820489597e-14,0.0
18,taxa841,taxa39948,0.24116627140056646,0.002379143270667017,0.0029902185592839336,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.38313999209832084,7.40948080668602e-10,2.3788333116202485e-09,0.0
19,taxa841,taxa283168,0.17725238524999298,0.3559521576299103,0.35998020467873,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2947426317755042,0.04788645623337617,0.05511460057048956,0.0
20,taxa841,taxa84111,0.46801223439181716,6.3634498580367654e-18,8.376075859648394e-17,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3368540734420947,6.208204860969069e-06,1.262334988397044e-05,0.13115816094972244
21,taxa841,taxa561,0.20922449349849193,0.01039104114389,0.01212602207991255,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.26436484980386665,0.0007912027308542013,0.0013044153130298995,0.0
22,taxa841,taxa207244,0.29182393009719565,7.374205528432043e-07,1.553523695692011e-06,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.24675057849949822,0.015952345690384062,0.021154197545944085,0.0
23,taxa841,taxa61170,0.34110733553782324,1.8919129329830753e-07,4.3236448993341344e-07,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2981798468166418,0.10505263029850664,0.11242474470541938,0.02613758003260258
24,taxa841,taxa29465,0.37709320097822896,8.297341702601102e-10,2.5252291954027363e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2654581599306145,0.005121513172647418,0.007265402407709128,0.0621234454730083
25,taxa841,taxa2172,0.23786776621237493,0.0008054485764942276,0.0010862999864076238,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3634765468086999,1.3674921615081104e-05,2.6908716726449912e-05,0.0
26,taxa841,taxa447020,0.3037011595915089,1.2607188232705013e-05,2.197844519418184e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.2807997798601778,0.13724282331886173,0.14434159004225114,0.0
27,taxa841,taxa838,0.3020717290345759,5.575428635329338e-06,1.0125216922769214e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3450450603481906,1.4467016995478588e-07,3.6770334863508075e-07,0.0
28,taxa841,taxa244127,0.4967578077060677,1.1102230246251565e-15,8.056233742792802e-15,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6837945948153943,2.518146522852154e-20,2.5601156315663567e-19,0.0
29,taxa841,taxa836,0.6707737658607561,2.93488126218981e-24,5.728078601377353e-23,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.7060151123459371,1.2927577333461009e-17,9.857277716764019e-17,0.0
30,taxa841,taxa100883,0.4039689699698683,2.8927582662596762e-08,7.33119930762527e-08,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.36409922938221795,0.026252304343220234,0.033362303436175716,0.03986974058765036
31,taxa841,taxa577310,0.3059286960406786,1.4984804184159373e-05,2.5884229404580484e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4486841990961765,7.228386855739899e-08,2.0042345372733356e-07,0.0
32,taxa841,taxa1357,0.29269065908068315,0.0008494035206714212,0.0011401479668775283,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.31083187024236425,0.09299061536657915,0.10313504613384233,0.0
33,taxa841,taxa1378,0.5478302353203257,4.107825191113079e-15,2.622213223500003e-14,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6533228030149634,1.1102230246251565e-16,7.524844944681616e-16,0.0
34,taxa841,taxa724,0.2507351424558243,0.02947383923280822,0.032561209510285204,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.23212759575362785,0.2170995033459967,0.22071782840176332,0.0
35,taxa841,taxa117563,0.29425852814188946,0.007259323999319167,0.008637934233247335,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.26767341469198047,0.31615618365792597,0.31615618365792597,0.0
36,taxa841,taxa644652,0.43173050584382167,1.7116639223768715e-06,3.3795410932510787e-06,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.35413289759492605,0.0010703337941821989,0.0017181674064503719,0.07759760824889561
37,taxa841,taxa1578,0.3852413479760515,6.077338302601376e-07,1.294770443891736e-06,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.28688030669001807,0.03689320412847541,0.044127165722294116,0.07027159247083081
38,taxa841,taxa872,0.34488171811801116,2.298554354629445e-05,3.860480014006724e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.23361529103565948,0.14810690067126253,0.15312747357537312,0.0299119626127905
39,taxa841,taxa40544,0.34847697661259547,0.00046824384065191627,0.0006506366951120735,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4444532074419216,9.225851054983636e-05,0.00017053845889515205,0.0
40,taxa841,taxa577309,0.48713251563958193,2.2128743282223695e-11,8.637840481199042e-11,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.577246240322429,5.179301432178818e-12,1.8584552197818114e-11,0.0
41,taxa841,taxa1654,0.5811004192101273,1.9984014443252818e-15,1.330700255868364e-14,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.443518946728208,3.3546673519846415e-05,6.394834639720723e-05,0.13758147248191932
42,taxa841,taxa904,0.4654424362380847,7.545681857124009e-10,2.3211173538761898e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6033796373154683,5.0638382376178015e-12,1.8584552197818114e-11,0.0
43,taxa841,taxa123375,0.5537032567565198,1.2742247479380353e-08,3.364904544321592e-08,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.5804846519687347,3.178986142104989e-07,7.756726186736174e-07,0.0
44,taxa841,taxa32207,0.6188991480206938,4.826335997520914e-10,1.5404358127425776e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4703939057529105,0.0021768500829456583,0.003319696376492129,0.14850524226778328
45,taxa841,taxa1017280,0.21465547497637028,0.15913946279059243,0.16406727857827927,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3632509340291914,0.035317520079794384,0.043087374497349146,0.0
46,taxa841,taxa830,0.5894027572992405,1.8892554187743826e-11,7.460362095532329e-11,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.5423121373583772,0.00016538545739974708,0.0002882432257538449,0.047090619940863276
47,taxa841,taxa133925,0.6023583060456323,7.645952179302263e-09,2.0542447469074753e-08,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.44813264553544285,0.0001269173589459882,0.0002277046734030965,0.1542256605101895
48,taxa841,taxa848,0.4186774193013538,4.254811763981792e-05,6.815726769095361e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.43779926690455884,3.9427550575510395e-06,8.589573518236193e-06,0.0
49,taxa841,taxa286,0.6146281458718013,3.867238751453783e-09,1.0818074794017337e-08,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6893102265727272,1.0490763813209014e-10,3.555203292254166e-10,0.0
50,taxa841,taxa570,0.47779693729397676,5.189943458627777e-05,8.205329602188049e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4112751002255691,0.08325047001744235,0.09404219761229599,0.06652183706840764
51,taxa841,taxa906,0.6764639580177524,2.897571071969196e-12,1.308530766011621e-11,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.7476177350520242,3.574918139293004e-14,1.6774615884374865e-13,0.0
52,taxa841,taxa1350,0.348405133370692,0.007703464977464436,0.009134415874116349,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.3848514943778859,0.0011847769896257132,0.0018531127273632949,0.0
53,taxa841,taxa52225,0.5640864586729928,1.2141752048222543e-09,3.6233207342498906e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4038786935540045,0.0057145547678396635,0.007922450928141351,0.16020776511898827
54,taxa841,taxa33024,0.6754496693749577,6.790533690903544e-10,2.1040741253931054e-09,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.7908915069825307,1.2212453270876722e-15,6.772360450213455e-15,0.0
55,taxa841,taxa1380,0.6273281480580453,1.3334831039379935e-07,3.118807590202084e-07,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.5980221509609116,0.003455256816635499,0.005018349186065844,0.029305997097133663
56,taxa841,taxa1348911,0.5400001637833668,1.3860262430775983e-05,2.4015026130058796e-05,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4390593143233379,0.01711664143136027,0.022215215474744178,0.1009408494600289
57,taxa841,taxa946234,0.2396055604405556,0.6012326231061971,0.6022967516426683,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.4594677562532824,0.029264503847651224,0.03643132111646377,0.0
58,taxa841,taxa84108,0.6411656237055677,6.026856683716275e-07,1.2872456162201553e-06,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.6709711954232133,1.0845714355500746e-06,2.544571444944406e-06,0.0
59,taxa841,taxa846,0.3405621146954967,0.12209156687021816,0.12679601256613482,0.31496975550522066,1.2424277162637054e-08,3.608956699623144e-08,0.501077695126229,0.002317630100887258,0.00344818136961275,0.0
60,taxa572511,taxa1730,0.20642618454577533,6.061768638487841e-05,9.504047228210853e-05,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13,0.3161220076206742,1.3862371250894512e-09,4.2280232315228264e-09,0.0
61,taxa572511,taxa216851,0.2858289114769246,5.909051026264933e-12,2.5273472651379993e-11,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13,0.19330929811340447,0.09612244273651094,0.10470480369512798,0.0
62,taxa572511,taxa189330,0.2576168433564924,8.823528848974591e-11,3.2082124166078917e-10,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13,0.22402651567140985,0.014293408898834126,0.019375509840641812,0.0
63,taxa572511,taxa375288,0.3320778595952085,3.885780586188048e-15,2.4898322397537002e-14,0.34360896630449955,5.007105841059456e-14,2.1816675450330485e-13,0.2758668142679497,9.438208603551601e-08,2.503177064420207e-07,0.0
