condition,taxa841,taxa572511,taxa1730,taxa216851,taxa189330,taxa375288,taxa816,taxa239759,taxa33042,taxa292632,taxa1263,taxa102106,taxa1678,taxa459786,taxa1301,taxa1485,taxa239934,taxa35832,taxa397864,taxa39948,taxa283168,taxa84111,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544,taxa577309,taxa1654,taxa904,taxa123375,taxa32207,taxa1017280,taxa830,taxa133925,taxa848,taxa286,taxa570,taxa906,taxa1350,taxa52225,taxa33024,taxa1380,taxa1348911,taxa946234,taxa84108,taxa846
crc,1.12319,5.0958,1.91886,0.90371,0.71209,0.85837,17.4229,1.49176,2.12551,15.9773,6.59944,0.39622,1.24815,0.02525,0.41825,0.97902,0.6789,0.18755,0.2516,,1.21314,0.03101,0.54427,0.03246,,,14.4645,,8.84767,0.00145,0.40082,1.29599,,0.0513,2.59697,,0.03357,,,0.07671,,,0.70286,,0.81087,,,,0.07787,0.08098,,,,,,,,,,,
crc,1.12802,4.72743,2.07257,0.90479,0.69496,0.76181,17.2021,1.41428,2.13969,16.0549,6.65619,0.39689,1.16033,0.02645,0.43195,1.05169,0.62433,0.14437,0.28828,,1.26067,0.02287,0.50602,0.01498,,,15.2218,0.00071,8.70896,,0.38317,0.6011,,0.06906,2.82706,,0.04577,,,0.07259,,,0.62772,,0.82395,,,,0.05546,0.04728,,,,,,,,,,,
crc,1.12812,4.63972,1.97364,0.9793,0.70153,0.88613,18.911,1.50551,2.12267,15.0961,6.45978,0.42096,1.27291,0.01824,0.41273,1.00204,0.70157,0.147,0.26759,,1.20664,0.01921,0.58388,0.02317,,,14.4254,,8.30348,0.00153,0.42907,1.8613,,0.04847,2.50391,,0.04677,,,0.06938,,,0.69585,,0.79133,,,,0.07901,0.08142,,,,,,,,,,,
crc,18.4178,3.54944,2.57502,8.44233,0.50952,0.31061,4.63475,0.37476,0.13003,0.91657,0.02463,0.33363,0.05214,0.02854,0.99664,3.75346,,0.02256,0.08536,0.06847,,,39.0377,,0.04532,1.14471,,,1.54326,,,,,0.64266,,0.027,,,0.52441,0.74627,,0.44116,0.00698,,,0.11623,,,,0.00641,,4.69743,0.10087,0.012,,1.98029,0.00692,,0.10533,,
crc,18.1144,4.13372,2.60669,8.01293,0.53216,0.30487,4.49175,0.34916,0.13161,1.05298,0.03501,0.31994,0.05189,0.02969,1.05397,3.28945,0.01454,0.01058,0.0836,0.09908,,,40.1252,,0.04528,0.98949,,,1.33135,,,,,0.67199,,0.02207,,,0.53793,0.76811,,0.41514,,,,0.10579,,0.01664,0.00325,0.00901,,5.1008,0.12329,0.01004,,2.00596,0.00203,,0.07324,,
crc,15.0663,3.59479,2.17233,8.52502,0.45866,0.28648,3.83306,0.37019,0.12438,0.96555,,0.45138,0.10589,0.04684,0.97104,3.07161,,0.03212,0.07991,,,,44.1031,,0.05939,0.88443,,0.01069,1.19485,,,0.00024,,0.49874,,0.03589,0.01282,,0.55989,0.95369,,0.41221,0.01473,0.00024,,0.13408,,,0.00424,0.01448,,5.98535,0.12926,0.0181,0.00625,1.86956,0.01608,,0.0925,0.00668,
crc,0.91971,2.4185,18.8067,3.07705,3.02281,0.4548,13.8374,3.80196,14.5818,4.7103,18.4766,0.10217,0.04435,0.00867,2.21189,0.12578,1.16708,0.35764,,,,0.00602,,1.01169,0.01684,0.00436,2.40096,0.1262,,,,,,0.004,0.00433,,0.008,0.00737,,,,,,,0.00316,,0.01528,0.02623,,,,,,,,,0.00206,,,,
crc,1.01105,2.55254,20.3507,3.25142,3.24091,0.5771,14.2299,3.99235,15.8903,5.26829,19.6862,0.0981,0.05081,0.00869,2.42222,0.13917,1.14412,0.36499,,,,0.00859,,1.19284,0.02978,0.00075,2.43674,0.12664,,,,,,,0.00992,,0.01396,0.00616,0.00214,,,,,,0.00412,,0.01559,0.02664,,,,,,,,,0.00421,,,,
crc,0.9283,2.20152,18.71,2.93307,3.01909,0.41083,13.3647,3.79129,14.7,4.74051,17.9888,0.11696,0.03068,0.00726,2.08259,0.1197,1.09878,0.35126,,,,0.00564,,1.11431,0.01879,0.00293,2.44033,0.1342,,,,,,0.00182,0.01854,,0.00801,0.00518,,,,,,,0.00382,,0.00462,0.02886,,,,,,,,,0.00088,,,,
crc,0.98997,2.6414,20.3712,3.33246,3.23422,0.50355,13.9299,4.21111,15.9466,4.99367,20.006,0.10162,0.04082,0.00797,2.25693,0.14425,1.15105,0.37252,,,,0.00184,,1.13784,0.02584,0.00268,2.43962,0.1441,,,,,,,0.017,,0.01647,0.00747,,,,,,,0.0027,,0.00768,0.02551,,,,,,,,,0.00133,,,,
