,taxa1,taxa2,raw_pm_2d,pvalue,qvalue,pm1,pvalue1,qvalue1,pm2,pvalue2,qvalue2,co_PM_2D
0,taxa561,taxa207244,0.3109722465291105,0.00014606821502582967,0.00027590662838212273,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.0025225315241925728
1,taxa561,taxa61170,0.3475302746188986,2.5617876537320505e-05,5.806718681792648e-05,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.26558916826402945,0.0002962019147395578,0.0005627836380051598,0.05073005135407638
2,taxa561,taxa29465,0.3001801593333372,0.0001651256082738639,0.0003051234065930094,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.21922456321550787,0.05516577136906842,0.06987664373415332,0.0033799360685149438
3,taxa561,taxa2172,0.42819875712784405,1.3586228053696914e-06,3.7863258510302873e-06,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.4322885616599772,5.153444337935298e-11,2.4478860605192665e-10,0.0
4,taxa561,taxa447020,0.315986806852407,0.0003667203129430474,0.0006297217494981622,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.3753775484463462,3.319058527906371e-06,1.0510352005036843e-05,0.0
5,taxa561,taxa838,0.27194454619231456,0.00037681672837774904,0.0006405884382421733,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.3013499898397104,3.195829044888576e-05,6.746750205875883e-05,0.0
6,taxa561,taxa244127,0.5665561097075833,1.7386092565629951e-13,2.391164189729212e-12,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.6456816087639363,2.778428861907663e-25,5.27901483762456e-24,0.0
7,taxa561,taxa836,0.4380126811695134,7.151114586156915e-06,1.7877786465392287e-05,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.5476616274743422,1.2450040998146505e-12,7.885025965492787e-12,0.0
8,taxa561,taxa100883,0.48055370766275807,6.409601915891017e-08,2.4764371038669836e-07,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.46660621756299636,5.346248045712265e-06,1.451124469550472e-05,0.013947490099761706
9,taxa561,taxa577310,0.31542120082980973,0.00032967958298557587,0.0005777889598716278,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.30643108952538967,0.006813323495836965,0.011768467856445666,0.008990111304420068
10,taxa561,taxa1357,0.4327535512901467,2.3125023598025152e-05,5.385279468033255e-05,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.286186762396056,0.04970459657354709,0.06745623820695677,0.13595332802532445
11,taxa561,taxa1378,0.6780383199461292,4.440892098500626e-16,1.509903313490213e-14,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.6060071430189309,2.659496805429069e-16,2.526521965157616e-15,0.07203117692719829
12,taxa561,taxa724,0.2815845632589412,0.505087348396414,0.508076030931304,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.2950404513779923,0.010268387831946724,0.015007643754383673,0.0
13,taxa561,taxa117563,0.5646314480139375,9.771361497712405e-10,5.537104848703696e-09,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.28947471743185527,0.35597104488442777,0.37574721404467376,0.26783122474911525
14,taxa561,taxa644652,0.3174479776791894,0.027544473144240356,0.03423546284310092,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.2752611199472389,0.2261488269440438,0.2527545712904019,0.02064775441436717
15,taxa561,taxa1578,0.33486389556343,0.004562400076976059,0.006572949263440085,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.28718796203173436,0.15767680194860312,0.1872412023139662,0.03806367229860774
16,taxa561,taxa872,0.3293546525499017,0.07437751924564184,0.08543363697134536,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.28276980943457375,0.47080733840018607,0.47080733840018607,0.032554429285079456
17,taxa561,taxa40544,0.4650066140028145,2.504157757354797e-05,5.7527948479772356e-05,0.29680022326482225,1.8050678645020746e-05,4.287036178192427e-05,0.5636988951796071,6.160957743972517e-09,2.3411639427095567e-08,0.0
18,taxa207244,taxa61170,0.25093297107601253,0.01046402205851904,0.014345836693130942,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.26558916826402945,0.0002962019147395578,0.0005627836380051598,0.0
19,taxa207244,taxa29465,0.3018711646602794,0.0009151362653617712,0.0014143015010136463,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.21922456321550787,0.05516577136906842,0.06987664373415332,0.0
20,taxa207244,taxa2172,0.3838880735982333,2.3027287032739707e-07,7.528151529934134e-07,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.4322885616599772,5.153444337935298e-11,2.4478860605192665e-10,0.0
21,taxa207244,taxa447020,0.30589096412177075,0.00014369117239110274,0.0002744662843425558,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.3753775484463462,3.319058527906371e-06,1.0510352005036843e-05,0.0
22,taxa207244,taxa838,0.22710922616361284,0.12355914082594432,0.13639645415850996,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.3013499898397104,3.195829044888576e-05,6.746750205875883e-05,0.0
23,taxa207244,taxa244127,0.5076128665181363,5.562217353372034e-14,8.596154091574961e-13,0.3084497150049179,0.008116667468799355,0.012851390158932312,0.6456816087639363,2.778428861907663e-25,5.27901483762456e-24,0.0
